canonical_key	extraction_layer	book	chapter_start	verse_start	chapter_end	verse_end	speaker	source_authority	authority_level	command_form	command_summary	theological_domain	social_domain	action_domain	ethical_intensity	command_status	related_key	derivation_confidence
lev_25_01_01	STRICT	Leviticus	25	1	25	7	God	divine	1	imperative	Keep sabbath year for land	covenant	national	ritual_behavior	4	active		100
lev_25_08_01	STRICT	Leviticus	25	8	25	17	God	divine	1	imperative	Proclaim Jubilee freedom	covenant	national	economic_behavior	5	active		100
lev_25_14_01	STRICT	Leviticus	25	14	25	23	God	divine	1	prohibition	Do not oppress or permanently sell land	ethics	national	judicial	5	active	lev_25_08_01	100
lev_25_25_01	STRICT	Leviticus	25	25	25	36	God	divine	1	imperative	Redeem property and help poor	covenant	national	economic_behavior	5	active		100
lev_26_01_01	STRICT	Leviticus	26	1	26	3	God	divine	1	prohibition	Do not make idols	worship	national	ritual_behavior	5	active		100
lev_27_02_01	STRICT	Leviticus	27	2	27	28	God	divine	1	imperative	Keep vows and dedications properly	law	national	judicial	4	active		100
num_01_02_01	STRICT	Numbers	1	2	1	3	God	divine	1	imperative	Census of Israelite men fit for war	covenant	national	governance	4	active		100
num_01_47_01	STRICT	Numbers	1	47	1	53	God	divine	1	imperative	Levites separated from tribal census	covenant	priesthood	governance	4	active		100
num_02_01_01	STRICT	Numbers	2	1	2	34	God	divine	1	imperative	Camp tribes around tabernacle in order	covenant	national	governance	4	active	num_01_02_01	100
num_03_05_01	STRICT	Numbers	3	5	3	10	God	divine	1	imperative	Levites serve Aaron and tabernacle	worship	priesthood	ritual_behavior	5	active		100
num_03_12_01	STRICT	Numbers	3	12	3	51	God	divine	1	imperative	Levites substitute for firstborn	covenant	priesthood	judicial	5	active	num_01_47_01	100
num_08_05_01	STRICT	Numbers	8	5	8	15	God	divine	1	imperative	Purify Levites for ministry	worship	priesthood	ritual_behavior	5	active	num_03_05_01	100
num_09_02_01	STRICT	Numbers	9	2	9	3	God	divine	1	imperative	Keep Passover at appointed time	worship	national	ritual_behavior	4	active		100
num_09_10_01	STRICT	Numbers	9	10	9	11	God	divine	1	imperative	Keep second Passover if unclean	worship	national	ritual_behavior	4	active	num_09_02_01	100
num_09_17_01	STRICT	Numbers	9	17	9	23	God	divine	1	imperative	Move and camp by cloud guidance	providence	national	migration	4	active		100
num_10_01_01	STRICT	Numbers	10	1	10	10	God	divine	1	imperative	Make silver trumpets for assembly	covenant	national	construction	4	active		100
num_10_13_01	STRICT	Numbers	10	13	10	28	God	divine	1	imperative	Set forward by ranks when signaled	providence	national	migration	4	active	num_10_01_01	100
num_12_06_01	STRICT	Numbers	12	6	12	8	God	divine	1	prohibition	Do not rebel against Moses	ethics	national	judicial	5	active		100
num_13_01_01	STRICT	Numbers	13	1	13	2	God	divine	1	imperative	Send spies into Canaan	providence	national	migration	4	active		100
num_13_30_01	STRICT	Numbers	13	30	14	9	Caleb/Moses	prophetic	3	imperative	Go up and possess land	covenant	national	warfare	5	active	num_13_01_01	100
num_14_25_01	STRICT	Numbers	14	25	14	35	God	divine	1	declarative	Wander forty years for unbelief	judgment	national	judicial	5	active	num_13_30_01	100
num_15_38_01	STRICT	Numbers	15	38	15	40	God	divine	1	imperative	Make tassels to remember commandments	worship	national	ritual_behavior	4	active		100
num_16_23_01	STRICT	Numbers	16	23	16	26	God	divine	1	declarative	Separation from rebellion	judgment	national	judicial	5	active		100
num_18_21_01	STRICT	Numbers	18	21	18	24	God	divine	1	imperative	Israel must give tithes to Levites	covenant	national	economic_behavior	4	active		100
num_19_02_01	STRICT	Numbers	19	2	19	10	God	divine	1	imperative	Red heifer purification law	worship	national	ritual_behavior	5	active		100
num_20_08_01	STRICT	Numbers	20	8	20	8	God	divine	1	imperative	Speak to rock for water	providence	individual	communication	5	active		100
num_21_08_01	STRICT	Numbers	21	8	21	9	God	divine	1	imperative	Look upon bronze serpent and live	worship	national	ritual_behavior	5	active		100
num_22_20_01	STRICT	Numbers	22	20	22	35	God	divine	1	imperative	Balaam speak only God's words	prophecy	foreign_nations	communication	5	active		100
num_25_04_01	STRICT	Numbers	25	4	25	5	God	divine	1	declarative	Judgment on idolators	judgment	national	judicial	5	active		100
num_26_02_01	STRICT	Numbers	26	2	26	2	God	divine	1	imperative	Second census before inheritance	covenant	national	governance	4	active		100
num_27_18_01	STRICT	Numbers	27	18	27	23	God	divine	1	imperative	Commission Joshua as leader	covenant	national	governance	5	active		100
num_28_01_01	STRICT	Numbers	28	1	28	31	God	divine	1	imperative	Daily and festival offerings	worship	national	ritual_behavior	4	active		100
num_30_02_01	STRICT	Numbers	30	2	30	16	God	divine	1	imperative	Keep vows and household order	law	national	judicial	4	active		100
num_31_01_01	STRICT	Numbers	31	1	31	27	God	divine	1	imperative	Execute judgment on Midian	judgment	national	warfare	5	active		100
num_32_20_01	STRICT	Numbers	32	20	32	27	Moses	prophetic	3	imperative	Help conquer land before settling	covenant	national	warfare	4	active		100
num_33_51_01	STRICT	Numbers	33	51	33	54	God	divine	1	imperative	Drive out Canaanites and idols	judgment	national	warfare	5	active		100
num_35_09_01	STRICT	Numbers	35	9	35	15	God	divine	1	imperative	Establish cities of refuge	law	national	judicial	5	active		100
num_35_30_01	STRICT	Numbers	35	30	35	31	God	divine	1	imperative	Require witnesses for murder justice	law	national	judicial	5	active		100
num_36_06_01	STRICT	Numbers	36	6	36	9	God	divine	1	imperative	Keep tribal inheritances intact	covenant	national	economic_behavior	4	active		100
deu_01_08_01	STRICT	Deuteronomy	1	8	1	8	Moses	prophetic	3	imperative	Take possession of promised land	covenant	national	warfare	4	active		100
deu_01_13_01	STRICT	Deuteronomy	1	13	1	17	Moses	prophetic	3	imperative	Appoint judges and leaders	covenant	national	governance	4	active		100
deu_06_04_01	STRICT	Deuteronomy	6	4	6	5	Moses	prophetic	3	imperative	Love the LORD fully	ethics	national	moral_behavior	5	active		100
deu_06_06_01	STRICT	Deuteronomy	6	6	6	9	Moses	prophetic	3	imperative	Teach commandments to children	ethics	family	communication	4	active		100
deu_06_13_01	STRICT	Deuteronomy	6	13	6	16	Moses	prophetic	3	imperative	Serve and fear God only	worship	national	judicial	5	active		100
deu_07_01_01	STRICT	Deuteronomy	7	1	7	5	Moses	prophetic	3	imperative	Destroy idols and pagan altars	judgment	national	warfare	5	active		100
deu_10_12_01	STRICT	Deuteronomy	10	12	10	13	Moses	prophetic	3	imperative	Fear and serve God	worship	national	moral_behavior	5	active		100
deu_10_16_01	STRICT	Deuteronomy	10	16	10	19	Moses	prophetic	3	imperative	Circumcise heart and love stranger	ethics	national	moral_behavior	5	active		100
deu_12_02_01	STRICT	Deuteronomy	12	2	12	5	Moses	prophetic	3	imperative	Destroy pagan worship sites	worship	national	warfare	5	active		100
deu_12_16_01	STRICT	Deuteronomy	12	16	12	23	Moses	prophetic	3	prohibition	Do not eat blood	worship	national	ritual_behavior	5	active		100
deu_14_01_01	STRICT	Deuteronomy	14	1	14	21	Moses	prophetic	3	imperative	Follow clean food laws	worship	national	ritual_behavior	4	active		100
deu_14_22_01	STRICT	Deuteronomy	14	22	14	29	Moses	prophetic	3	imperative	Tithe yearly produce	covenant	national	economic_behavior	4	active		100
deu_15_01_01	STRICT	Deuteronomy	15	1	15	11	Moses	prophetic	3	imperative	Release debts in sabbatical year	covenant	national	economic_behavior	5	active		100
deu_15_12_01	STRICT	Deuteronomy	15	12	15	18	Moses	prophetic	3	imperative	Free servants in seventh year	ethics	family	economic_behavior	5	active		100
deu_16_01_01	STRICT	Deuteronomy	16	1	16	17	Moses	prophetic	3	imperative	Keep Passover and feasts	worship	national	ritual_behavior	4	active		100
deu_16_18_01	STRICT	Deuteronomy	16	18	16	20	Moses	prophetic	3	imperative	Appoint judges without corruption	law	national	judicial	4	active		100
deu_17_14_01	STRICT	Deuteronomy	17	14	17	20	Moses	prophetic	3	imperative	King must obey law and not exalt self	law	national	governance	5	active		100
deu_18_09_01	STRICT	Deuteronomy	18	9	18	14	Moses	prophetic	3	prohibition	Do not practice divination	ethics	national	ritual_behavior	5	active		100
deu_18_15_01	STRICT	Deuteronomy	18	15	18	19	Moses	prophetic	3	imperative	Heed future prophet	prophecy	national	moral_behavior	5	active		100
deu_19_01_01	STRICT	Deuteronomy	19	1	19	13	Moses	prophetic	3	imperative	Establish cities of refuge	law	national	judicial	5	active		100
deu_19_14_01	STRICT	Deuteronomy	19	14	19	21	Moses	prophetic	3	prohibition	Do not move landmarks or lie	law	national	judicial	5	active		100
deu_20_01_01	STRICT	Deuteronomy	20	1	20	20	Moses	prophetic	3	imperative	Do not fear in battle	ethics	national	warfare	5	active		100
deu_21_01_01	STRICT	Deuteronomy	21	1	23	23	Moses	prophetic	3	imperative	Justice for unsolved murder and family law	law	family	judicial	4	active		100
deu_22_01_01	STRICT	Deuteronomy	22	1	12	12	Moses	prophetic	3	imperative	Protect neighbor’s property and purity	ethics	family	judicial	4	active		100
deu_24_01_01	STRICT	Deuteronomy	24	1	22	22	Moses	prophetic	3	imperative	Protect marriage, poor, and workers	ethics	family	judicial	4	active		100
deu_25_13_01	STRICT	Deuteronomy	25	13	25	16	Moses	prophetic	3	imperative	Use honest weights and measures	covenant	national	economic_behavior	5	active		100
deu_26_01_01	STRICT	Deuteronomy	26	1	26	11	Moses	prophetic	3	imperative	Bring firstfruits and give thanks	worship	national	ritual_behavior	4	active		100
deu_27_01_01	STRICT	Deuteronomy	27	1	27	26	Moses	prophetic	3	imperative	Write law on stones and proclaim covenant	law	national	communication	5	active		100
deu_28_01_01	STRICT	Deuteronomy	28	1	28	68	Moses	prophetic	3	conditional	Covenant blessings and curses	covenant	national	judicial	5	active		100
deu_30_15_01	STRICT	Deuteronomy	30	15	30	20	Moses	prophetic	3	imperative	Choose life and obey God	ethics	national	moral_behavior	5	active		100
deu_31_07_01	STRICT	Deuteronomy	31	7	31	8	Moses	prophetic	3	imperative	Encourage Joshua to lead with courage	covenant	national	governance	4	active		100
deu_31_10_01	STRICT	Deuteronomy	31	10	31	13	Moses	prophetic	3	imperative	Read the law every seventh year	law	national	communication	4	active		100
deu_32_48_01	STRICT	Deuteronomy	32	48	32	52	God	divine	1	imperative	Ascend to view the land before death	providence	individual	migration	5	active		100
jos_01_02_01	STRICT	Joshua	1	2	1	2	God	divine	1	imperative	Arise and go over Jordan with this people	covenant	national	migration	4	active		100
jos_01_06_01	STRICT	Joshua	1	6	1	7	God	divine	1	imperative	Be strong and courageous to possess land	covenant	individual	moral_behavior	4	active	jos_01_02_01	100
jos_01_07_01	STRICT	Joshua	1	7	1	8	God	divine	1	imperative	Observe all the law; do not turn aside	law	individual	moral_behavior	5	active	jos_01_06_01	100
jos_01_08_01	STRICT	Joshua	1	8	1	8	God	divine	1	imperative	Meditate on the book of the law day and night	wisdom	individual	moral_behavior	4	active	jos_01_07_01	100
jos_01_09_01	STRICT	Joshua	1	9	1	9	God	divine	1	imperative	Do not be afraid or dismayed	ethics	individual	moral_behavior	4	active	jos_01_06_01	100
jos_01_10_01	STRICT	Joshua	1	10	1	11	Joshua	divine_authorized	2	imperative	Prepare provisions for crossing Jordan	providence	national	migration	3	active		100
jos_01_12_01	STRICT	Joshua	1	12	1	15	Joshua	divine_authorized	2	imperative	Help your brethren until land is conquered	covenant	national	governance	4	active		100
jos_02_01_01	STRICT	Joshua	2	1	2	1	Joshua	divine_authorized	2	imperative	Go spy out Jericho	providence	national	warfare	4	active		100
jos_02_18_01	STRICT	Joshua	2	18	2	19	Spies	divine_authorized	2	imperative	Bind scarlet cord and gather household	covenant	family	ritual_behavior	5	active		100
jos_03_05_01	STRICT	Joshua	3	5	3	5	Joshua	divine_authorized	2	imperative	Sanctify yourselves for tomorrow	worship	national	ritual_behavior	4	active		100
jos_03_06_01	STRICT	Joshua	3	6	3	8	Joshua	divine_authorized	2	imperative	Priests carry ark into Jordan	worship	priesthood	ritual_behavior	5	active		100
jos_03_03_01	STRICT	Joshua	3	3	3	4	Joshua	divine_authorized	2	imperative	Follow ark at distance	worship	national	ritual_behavior	4	active	jos_03_06_01	100
jos_04_02_01	STRICT	Joshua	4	2	4	2	God	divine	1	imperative	Choose twelve men	providence	national	governance	4	active		100
